year,month,monthly_rainfall
1968,2,24.800000000000004
1969,2,64.9
1970,2,66.99999999999999
1971,2,26.700000000000003
1972,2,65.79999999999998
1973,2,22.999999999999996
1974,2,97.0
1975,2,34.20000000000001
1976,2,25.400000000000002
1977,2,109.00000000000001
1978,2,57.8
1979,2,68.70000000000002
1980,2,44.2
1981,2,18.400000000000002
1982,2,31.40000000000001
1983,2,42.800000000000004
1984,2,46.400000000000006
1985,2,29.200000000000006
1986,2,25.900000000000006
1987,2,27.9
1988,2,41.900000000000006
1989,2,52.9
1990,2,108.50000000000003
1991,2,54.39999999999999
1992,2,21.4
1993,2,8.2
1994,2,54.20000000000001
1995,2,83.8
1996,2,70.60000000000002
1997,2,87.7
1998,2,8.9
1999,2,23.9
2000,2,74.6
2001,2,110.39999999999999
2002,2,84.0
2003,2,25.6
2004,2,26.999999999999993
2005,2,36.2
2006,2,41.400000000000006
2007,2,97.39999999999999
2008,2,21.899999999999995
2009,2,73.9
2010,2,77.5
2011,2,56.800000000000004
2012,2,24.699999999999996
2013,2,43.50000000000001
2014,2,141.80000000000004
2015,2,54.60000000000001
2016,2,46.7
2017,2,38.699999999999996
2018,2,48.500000000000014
2019,2,43.20000000000002
2020,2,127.00000000000001
2021,2,45.80000000000001
2022,2,78.9
2023,2,5.6000000000000005
2024,2,130.00000000000003
1853,3,42.8
1854,3,9.000000000000002
1855,3,43.6
1856,3,20.3
1857,3,28.400000000000002
1858,3,15.2
1859,3,31.300000000000004
1860,3,39.800000000000004
1861,3,42.7
1862,3,63.7
1863,3,18.299999999999997
1864,3,53.5
1865,3,27.5
1866,3,34.5
1867,3,37.199999999999996
1868,3,47.199999999999996
1869,3,34.3
1870,3,40.4
1871,3,35.099999999999994
1872,3,47.89999999999999
1873,3,48.099999999999994
1874,3,17.799999999999997
1875,3,21.900000000000002
1876,3,73.49999999999999
1877,3,64.80000000000001
1878,3,24.899999999999995
1879,3,30.199999999999996
1880,3,27.830000000000002
1881,3,53.480000000000004
1882,3,37.61000000000001
1883,3,19.440000000000005
1884,3,41.589999999999996
1885,3,30.189999999999994
1886,3,36.550000000000004
1887,3,41.4
1888,3,75.74999999999999
1889,3,45.72
1890,3,69.87999999999998
1891,3,42.86999999999998
1892,3,26.690000000000005
1893,3,8.890000000000002
1894,3,53.71999999999999
1895,3,46.349999999999994
1896,3,92.04
1897,3,100.11999999999999
1898,3,25.18
1899,3,20.310000000000002
1900,3,24.249999999999993
1901,3,60.64
1902,3,37.449999999999996
1903,3,86.47
1904,3,36.95
1905,3,88.57000000000001
1906,3,39.21
1907,3,32.639999999999986
1908,3,86.6
1909,3,86.86999999999999
1910,3,28.79
1911,3,53.050000000000004
1912,3,105.17000000000003
1913,3,61.12
1914,3,108.68000000000004
1915,3,30.330000000000002
1916,3,109.69999999999999
1917,3,39.300000000000004
1918,3,21.799999999999997
1919,3,86.29999999999998
1920,3,37.4
1921,3,24.60000000000001
1922,3,53.40000000000001
1923,3,60.70000000000001
1924,3,26.900000000000006
1925,3,29.200000000000003
1926,3,4.3
1927,3,53.10000000000001
1928,3,53.2
1929,3,1.0999999999999999
1930,3,35.00000000000001
1931,3,2.0
1932,3,47.50000000000001
1933,3,68.4
1934,3,59.4
1935,3,14.0
1936,3,31.599999999999998
1937,3,80.10000000000001
1938,3,6.800000000000001
1939,3,42.9
1940,3,65.7
1941,3,69.69999999999997
1942,3,39.400000000000006
1943,3,15.1
1944,3,4.500000000000001
1945,3,15.6
1946,3,29.8
1947,3,128.89999999999998
1948,3,23.0
1949,3,34.199999999999996
1950,3,21.3
1951,3,85.29999999999998
1952,3,66.69999999999999
1953,3,12.0
1954,3,63.7
1955,3,34.2
1956,3,24.7
1957,3,30.1
1958,3,44.7
1959,3,62.30000000000001
1960,3,40.900000000000006
1961,3,2.8
1962,3,49.5
1963,3,98.89999999999996
1964,3,83.19999999999999
1965,3,53.5
1966,3,17.6
1967,3,30.3
1968,3,26.200000000000003
1969,3,47.79999999999998
1970,3,54.89999999999998
1971,3,67.50000000000001
1972,3,70.4
1973,3,14.099999999999998
1974,3,46.70000000000001
1975,3,88.5
1976,3,16.900000000000002
1977,3,54.9
1978,3,77.1
1979,3,129.2
1980,3,79.4
1981,3,118.10000000000001
1982,3,83.19999999999999
1983,3,44.3
1984,3,63.2
1985,3,38.2
1986,3,56.39999999999999
1987,3,56.4
1988,3,65.1
1989,3,61.099999999999994
1990,3,16.3
1991,3,28.0
1992,3,56.79999999999998
1993,3,23.1
1994,3,55.3
1995,3,54.70000000000002
1996,3,26.400000000000002
1997,3,11.500000000000002
1998,3,63.0
1999,3,37.8
2000,3,13.1
2001,3,91.4
2002,3,49.300000000000004
2003,3,25.1
2004,3,47.4
2005,3,43.199999999999996
2006,3,49.49999999999999
2007,3,57.60000000000003
2008,3,96.20000000000003
2009,3,37.3
2010,3,45.4
2011,3,10.000000000000002
2012,3,34.60000000000001
2013,3,83.1
2014,3,28.099999999999994
2015,3,26.3
2016,3,84.30000000000001
2017,3,40.49999999999999
2018,3,78.3
2019,3,60.4
2020,3,43.80000000000001
2021,3,27.6
2022,3,34.00000000000001
2023,3,116.79999999999997
2024,3,89.9
1853,4,62.69999999999999
1854,4,8.8
1855,4,5.8
1856,4,55.3
1857,4,44.800000000000004
1858,4,60.0
1859,4,62.199999999999996
1860,4,33.5
1861,4,25.0
1862,4,63.6
1863,4,19.5
1864,4,26.499999999999996
1865,4,9.3
1866,4,44.2
1867,4,68.6
1868,4,50.69999999999999
1869,4,49.4
1870,4,8.6
1871,4,71.7
1872,4,38.60000000000001
1873,4,13.7
1874,4,55.0
1875,4,39.7
1876,4,84.70000000000002
1877,4,70.2
1878,4,103.9
1879,4,71.09999999999998
1880,4,54.26
1881,4,24.689999999999998
1882,4,97.10000000000001
1883,4,36.27
1884,4,44.230000000000004
1885,4,71.38
1886,4,47.81
1887,4,28.45
1888,4,51.17
1889,4,60.72000000000001
1890,4,30.869999999999997
1891,4,36.57
1892,4,18.45
1893,4,5.529999999999999
1894,4,42.38
1895,4,36.64
1896,4,22.32
1897,4,45.05
1898,4,34.52
1899,4,66.3
1900,4,33.81
1901,4,61.4
1902,4,20.430000000000003
1903,4,37.35
1904,4,29.850000000000005
1905,4,54.730000000000004
1906,4,18.76
1907,4,72.5
1908,4,74.61
1909,4,44.03
1910,4,37.92
1911,4,38.120000000000005
1912,4,3.33
1913,4,77.31999999999998
1914,4,27.660000000000004
1915,4,27.66
1916,4,32.699999999999996
1917,4,47.1
1918,4,103.69999999999999
1919,4,83.9
1920,4,110.59999999999995
1921,4,37.4
1922,4,81.89999999999999
1923,4,36.199999999999996
1924,4,75.4
1925,4,40.800000000000004
1926,4,71.3
1927,4,43.19999999999999
1928,4,19.400000000000006
1929,4,36.7
1930,4,55.1
1931,4,81.7
1932,4,53.90000000000001
1933,4,22.0
1934,4,47.39999999999999
1935,4,91.80000000000001
1936,4,31.0
1937,4,68.7
1938,4,2.7
1939,4,69.1
1940,4,45.300000000000004
1941,4,36.199999999999996
1942,4,39.599999999999994
1943,4,25.099999999999998
1944,4,46.50000000000001
1945,4,33.0
1946,4,24.799999999999997
1947,4,53.099999999999994
1948,4,35.00000000000001
1949,4,47.1
1950,4,46.400000000000006
1951,4,69.99999999999999
1952,4,48.300000000000004
1953,4,63.699999999999996
1954,4,6.999999999999999
1955,4,11.2
1956,4,27.7
1957,4,7.4
1958,4,31.099999999999998
1959,4,58.8
1960,4,14.100000000000003
1961,4,73.19999999999997
1962,4,59.29999999999999
1963,4,56.39999999999999
1964,4,83.1
1965,4,50.1
1966,4,84.99999999999997
1967,4,48.09999999999999
1968,4,63.60000000000001
1969,4,37.4
1970,4,75.6
1971,4,36.1
1972,4,54.1
1973,4,59.30000000000001
1974,4,19.499999999999996
1975,4,52.6
1976,4,20.700000000000003
1977,4,30.5
1978,4,57.50000000000001
1979,4,92.5
1980,4,29.2
1981,4,50.89999999999999
1982,4,21.6
1983,4,118.39999999999999
1984,4,6.5
1985,4,30.900000000000006
1986,4,84.10000000000001
1987,4,47.2
1988,4,29.200000000000003
1989,4,97.90000000000002
1990,4,26.500000000000007
1991,4,73.5
1992,4,63.900000000000006
1993,4,89.5
1994,4,65.30000000000001
1995,4,11.299999999999999
1996,4,25.799999999999997
1997,4,15.199999999999998
1998,4,114.99999999999999
1999,4,48.9
2000,4,132.5
2001,4,83.69999999999997
2002,4,55.7
2003,4,37.7
2004,4,82.2
2005,4,65.6
2006,4,51.0
2007,4,2.8
2008,4,53.5
2009,4,46.7
2010,4,18.8
2011,4,5.2
2012,4,168.70000000000002
2013,4,32.900000000000006
2014,4,31.4
2015,4,31.099999999999998
2016,4,61.80000000000002
2017,4,12.0
2018,4,75.0
2019,4,13.2
2020,4,51.400000000000006
2021,4,1.5999999999999999
2022,4,20.7
2023,4,64.9
2024,4,67.4
1853,5,34.599999999999994
1854,5,95.6
1855,5,47.099999999999994
1856,5,107.50000000000001
1857,5,22.9
1858,5,63.5
1859,5,49.20000000000001
1860,5,103.30000000000001
1861,5,23.0
1862,5,66.19999999999999
1863,5,20.400000000000002
1864,5,41.699999999999996
1865,5,71.5
1866,5,27.0
1867,5,79.39999999999999
1868,5,18.9
1869,5,78.3
1870,5,30.200000000000003
1871,5,23.900000000000006
1872,5,73.2
1873,5,44.1
1874,5,30.1
1875,5,69.5
1876,5,19.9
1877,5,72.1
1878,5,126.5
1879,5,88.5
1880,5,18.04
1881,5,35.209999999999994
1882,5,51.07
1883,5,46.65
1884,5,15.609999999999998
1885,5,71.66999999999999
1886,5,105.73
1887,5,57.14999999999999
1888,5,31.310000000000002
1889,5,124.32999999999998
1890,5,34.04
1891,5,84.90999999999998
1892,5,33.529999999999994
1893,5,30.419999999999995
1894,5,50.36
1895,5,16.56
1896,5,11.450000000000001
1897,5,41.419999999999995
1898,5,69.24
1899,5,67.00999999999999
1900,5,26.81
1901,5,44.86
1902,5,53.53999999999999
1903,5,54.8
1904,5,53.15
1905,5,27.49
1906,5,33.86000000000001
1907,5,60.379999999999995
1908,5,45.53999999999999
1909,5,32.18
1910,5,52.88000000000001
1911,5,93.69999999999997
1912,5,35.94
1913,5,43.710000000000015
1914,5,33.69
1915,5,59.35
1916,5,45.400000000000006
1917,5,45.599999999999994
1918,5,57.00000000000001
1919,5,12.0
1920,5,32.2
1921,5,34.900000000000006
1922,5,38.199999999999996
1923,5,40.5
1924,5,112.90000000000002
1925,5,59.3
1926,5,45.90000000000001
1927,5,27.599999999999998
1928,5,32.99999999999999
1929,5,72.30000000000001
1930,5,70.30000000000001
1931,5,61.89999999999999
1932,5,103.60000000000001
1933,5,37.9
1934,5,21.3
1935,5,44.4
1936,5,11.299999999999999
1937,5,88.4
1938,5,42.1
1939,5,42.60000000000001
1940,5,50.099999999999994
1941,5,52.8
1942,5,70.0
1943,5,60.29999999999999
1944,5,17.099999999999998
1945,5,55.800000000000004
1946,5,59.10000000000001
1947,5,29.400000000000002
1948,5,77.10000000000001
1949,5,50.099999999999994
1950,5,49.6
1951,5,64.1
1952,5,42.1
1953,5,42.10000000000001
1954,5,58.99999999999999
1955,5,115.80000000000001
1956,5,14.100000000000001
1957,5,32.3
1958,5,50.199999999999996
1959,5,32.1
1960,5,38.9
1961,5,26.200000000000003
1962,5,48.5
1963,5,39.699999999999996
1964,5,38.800000000000004
1965,5,51.199999999999996
1966,5,64.79999999999998
1967,5,124.49999999999997
1968,5,52.59999999999999
1969,5,78.99999999999999
1970,5,22.7
1971,5,49.099999999999994
1972,5,44.0
1973,5,54.7
1974,5,27.199999999999996
1975,5,65.9
1976,5,20.2
1977,5,41.900000000000006
1978,5,66.39999999999998
1979,5,108.2
1980,5,19.1
1981,5,81.89999999999999
1982,5,60.00000000000001
1983,5,93.20000000000002
1984,5,79.10000000000001
1985,5,48.9
1986,5,61.69999999999999
1987,5,63.6
1988,5,49.800000000000004
1989,5,4.2
1990,5,1.5
1991,5,14.6
1992,5,103.1
1993,5,44.699999999999996
1994,5,68.5
1995,5,28.400000000000002
1996,5,31.4
1997,5,30.699999999999996
1998,5,20.3
1999,5,19.3
2000,5,90.39999999999999
2001,5,50.1
2002,5,81.0
2003,5,43.2
2004,5,51.599999999999994
2005,5,44.4
2006,5,89.0
2007,5,135.8
2008,5,86.99999999999999
2009,5,24.8
2010,5,38.5
2011,5,23.599999999999998
2012,5,52.70000000000001
2013,5,55.900000000000006
2014,5,82.9
2015,5,68.49999999999999
2016,5,39.3
2017,5,70.10000000000001
2018,5,61.89999999999999
2019,5,42.80000000000001
2020,5,3.2
2021,5,94.40000000000003
2022,5,33.7
2023,5,48.800000000000004
2024,5,114.80000000000001
1853,6,77.89999999999999
1854,6,14.199999999999998
1855,6,34.1
1856,6,43.10000000000001
1857,6,50.7
1858,6,20.600000000000005
1859,6,81.69999999999999
1860,6,152.80000000000004
1861,6,69.6
1862,6,76.70000000000002
1863,6,100.9
1864,6,39.99999999999999
1865,6,15.2
1866,6,106.5
1867,6,19.400000000000002
1868,6,7.5
1869,6,25.7
1870,6,21.900000000000002
1871,6,101.80000000000001
1872,6,82.7
1873,6,42.300000000000004
1874,6,40.5
1875,6,89.69999999999999
1876,6,34.4
1877,6,36.4
1878,6,63.9
1879,6,141.0
1880,6,49.36000000000001
1881,6,41.160000000000004
1882,6,99.12999999999998
1883,6,54.97999999999999
1884,6,62.580000000000005
1885,6,68.8
1886,6,29.26
1887,6,17.2
1888,6,120.64999999999999
1889,6,30.760000000000005
1890,6,60.02000000000001
1891,6,45.739999999999995
1892,6,63.16
1893,6,24.089999999999996
1894,6,49.67
1895,6,10.82
1896,6,53.12
1897,6,65.86
1898,6,38.68000000000001
1899,6,37.65
1900,6,65.11999999999999
1901,6,20.67
1902,6,82.77
1903,6,149.65
1904,6,19.46
1905,6,98.91000000000001
1906,6,86.91
1907,6,63.10999999999999
1908,6,41.3
1909,6,100.66
1910,6,69.47999999999999
1911,6,66.05
1912,6,79.71000000000001
1913,6,29.069999999999997
1914,6,40.510000000000005
1915,6,43.86
1916,6,63.00000000000001
1917,6,49.599999999999994
1918,6,23.1
1919,6,26.1
1920,6,47.1
1921,6,4.3999999999999995
1922,6,24.199999999999996
1923,6,14.399999999999999
1924,6,47.3
1925,6,2.5
1926,6,72.60000000000001
1927,6,82.0
1928,6,53.2
1929,6,24.7
1930,6,23.599999999999998
1931,6,36.8
1932,6,20.1
1933,6,25.200000000000003
1934,6,42.4
1935,6,71.7
1936,6,153.6
1937,6,44.000000000000014
1938,6,19.6
1939,6,49.6
1940,6,22.2
1941,6,26.6
1942,6,7.0
1943,6,36.400000000000006
1944,6,42.39999999999999
1945,6,55.1
1946,6,63.29999999999999
1947,6,61.3
1948,6,74.29999999999998
1949,6,14.8
1950,6,37.6
1951,6,26.1
1952,6,18.400000000000002
1953,6,56.3
1954,6,89.39999999999999
1955,6,51.00000000000001
1956,6,95.0
1957,6,58.3
1958,6,115.89999999999999
1959,6,27.400000000000002
1960,6,43.49999999999999
1961,6,38.99999999999999
1962,6,6.3999999999999995
1963,6,97.1
1964,6,100.3
1965,6,60.599999999999994
1966,6,78.39999999999999
1967,6,51.699999999999996
1968,6,55.5
1969,6,36.699999999999996
1970,6,22.699999999999996
1971,6,103.5
1972,6,36.7
1973,6,83.4
1974,6,76.39999999999999
1975,6,23.5
1976,6,16.6
1977,6,76.49999999999999
1978,6,84.2
1979,6,30.000000000000004
1980,6,69.89999999999999
1981,6,33.0
1982,6,113.39999999999999
1983,6,26.0
1984,6,53.699999999999996
1985,6,102.0
1986,6,16.4
1987,6,89.9
1988,6,56.60000000000001
1989,6,27.7
1990,6,51.7
1991,6,100.4
1992,6,35.699999999999996
1993,6,131.0
1994,6,18.3
1995,6,28.2
1996,6,5.9
1997,6,116.6
1998,6,102.8
1999,6,83.2
2000,6,12.7
2001,6,27.8
2002,6,29.199999999999996
2003,6,45.099999999999994
2004,6,32.400000000000006
2005,6,44.00000000000001
2006,6,15.0
2007,6,72.4
2008,6,35.3
2009,6,68.1
2010,6,23.599999999999998
2011,6,83.0
2012,6,166.39999999999995
2013,6,24.500000000000004
2014,6,30.4
2015,6,26.799999999999997
2016,6,84.6
2017,6,38.8
2018,6,3.5000000000000004
2019,6,70.8
2020,6,87.4
2021,6,77.6
2022,6,43.80000000000001
2023,6,15.899999999999999
2024,6,21.499999999999996
1853,7,105.39999999999999
1854,7,21.700000000000003
1855,7,167.20000000000002
1856,7,30.599999999999998
1857,7,36.400000000000006
1858,7,75.8
1859,7,72.10000000000001
1860,7,43.0
1861,7,73.5
1862,7,41.400000000000006
1863,7,16.099999999999998
1864,7,19.9
1865,7,66.2
1866,7,71.8
1867,7,95.0
1868,7,6.700000000000001
1869,7,22.9
1870,7,24.8
1871,7,98.19999999999999
1872,7,69.7
1873,7,58.4
1874,7,71.9
1875,7,143.79999999999998
1876,7,37.4
1877,7,83.39999999999999
1878,7,16.8
1879,7,107.9
1880,7,132.63999999999996
1881,7,44.010000000000005
1882,7,52.18999999999999
1883,7,105.63000000000001
1884,7,61.02999999999999
1885,7,8.959999999999999
1886,7,60.33
1887,7,17.52
1888,7,95.19
1889,7,141.92999999999998
1890,7,113.95999999999998
1891,7,57.879999999999995
1892,7,73.66000000000001
1893,7,74.14
1894,7,59.65999999999999
1895,7,125.86000000000001
1896,7,30.680000000000003
1897,7,11.189999999999998
1898,7,35.1
1899,7,29.969999999999995
1900,7,27.080000000000002
1901,7,59.03000000000001
1902,7,30.54
1903,7,99.97999999999998
1904,7,72.63
1905,7,35.6
1906,7,9.73
1907,7,54.980000000000004
1908,7,58.9
1909,7,76.2
1910,7,48.49999999999999
1911,7,16.16
1912,7,81.91999999999999
1913,7,30.189999999999994
1914,7,36.5
1915,7,111.53
1916,7,40.1
1917,7,102.8
1918,7,80.29999999999998
1919,7,64.99999999999999
1920,7,118.09999999999997
1921,7,4.1
1922,7,106.6
1923,7,95.1
1924,7,107.2
1925,7,107.10000000000001
1926,7,66.39999999999999
1927,7,73.89999999999999
1928,7,59.2
1929,7,33.9
1930,7,54.800000000000004
1931,7,96.10000000000001
1932,7,63.699999999999996
1933,7,34.199999999999996
1934,7,27.199999999999996
1935,7,23.2
1936,7,116.4
1937,7,42.3
1938,7,29.299999999999997
1939,7,51.300000000000004
1940,7,58.0
1941,7,135.09999999999997
1942,7,52.800000000000004
1943,7,38.4
1944,7,37.7
1945,7,68.0
1946,7,51.599999999999994
1947,7,38.8
1948,7,23.299999999999997
1949,7,27.5
1950,7,137.60000000000002
1951,7,31.4
1952,7,12.8
1953,7,96.6
1954,7,87.9
1955,7,5.2
1956,7,61.3
1957,7,63.599999999999994
1958,7,47.99999999999999
1959,7,111.8
1960,7,77.19999999999999
1961,7,34.099999999999994
1962,7,63.8
1963,7,39.89999999999999
1964,7,31.500000000000004
1965,7,103.99999999999997
1966,7,76.2
1967,7,53.7
1968,7,83.8
1969,7,50.8
1970,7,49.3
1971,7,15.200000000000001
1972,7,29.099999999999994
1973,7,54.6
1974,7,30.599999999999998
1975,7,18.6
1976,7,41.6
1977,7,7.499999999999999
1978,7,58.5
1979,7,24.6
1980,7,80.89999999999999
1981,7,62.10000000000001
1982,7,42.3
1983,7,35.1
1984,7,13.600000000000001
1985,7,48.4
1986,7,43.99999999999999
1987,7,61.5
1988,7,94.7
1989,7,46.70000000000002
1990,7,14.799999999999999
1991,7,73.39999999999999
1992,7,62.199999999999996
1993,7,58.9
1994,7,23.2
1995,7,18.6
1996,7,47.2
1997,7,42.7
1998,7,39.4
1999,7,23.2
2000,7,48.5
2001,7,56.1
2002,7,93.50000000000001
2003,7,39.599999999999994
2004,7,49.80000000000001
2005,7,39.0
2006,7,35.599999999999994
2007,7,86.8
2008,7,88.2
2009,7,73.4
2010,7,31.7
2011,7,44.6
2012,7,128.4
2013,7,47.400000000000006
2014,7,36.9
2015,7,132.6
2016,7,26.999999999999996
2017,7,73.8
2018,7,15.100000000000001
2019,7,45.0
2020,7,81.2
2021,7,50.99999999999999
2022,7,11.7
2023,7,97.6
2024,7,91.0
1853,8,66.2
1854,8,65.19999999999999
1855,8,57.1
1856,8,59.2
1857,8,77.8
1858,8,40.59999999999999
1859,8,66.3
1860,8,89.0
1861,8,17.5
1862,8,55.0
1863,8,63.9
1864,8,14.700000000000003
1865,8,122.5
1866,8,75.9
1867,8,48.599999999999994
1868,8,91.00000000000001
1869,8,28.099999999999998
1870,8,40.3
1871,8,17.3
1872,8,60.10000000000001
1873,8,61.199999999999996
1874,8,44.699999999999996
1875,8,27.900000000000006
1876,8,75.7
1877,8,65.9
1878,8,126.5
1879,8,166.69999999999996
1880,8,25.939999999999998
1881,8,144.78000000000003
1882,8,52.44
1883,8,19.750000000000004
1884,8,39.519999999999996
1885,8,39.589999999999996
1886,8,28.73
1887,8,23.97
1888,8,81.97
1889,8,52.93000000000001
1890,8,61.47000000000001
1891,8,100.01
1892,8,92.09
1893,8,57.92999999999999
1894,8,88.77
1895,8,97.76000000000002
1896,8,70.6
1897,8,78.23
1898,8,27.419999999999998
1899,8,25.58
1900,8,94.08999999999999
1901,8,49.300000000000004
1902,8,86.25
1903,8,94.96000000000001
1904,8,50.910000000000004
1905,8,84.88999999999999
1906,8,29.76
1907,8,42.73000000000001
1908,8,72.72
1909,8,67.11999999999999
1910,8,82.57999999999998
1911,8,24.110000000000007
1912,8,159.44
1913,8,36.69
1914,8,37.21000000000001
1915,8,60.580000000000005
