year,mean_temp_year,total_rainfall_year
1968,8.81622222875,839.44076
1969,9.0206936825,885.31486
1970,9.02691030175,665.56134
1971,9.26731658275,804.28904
1972,9.188685498,659.15002
1973,9.34756430175,628.64098
1974,9.33986077875,702.03954
1975,9.64772074325,882.33028
1976,9.9081685975,430.22168
1977,8.69679138875,1006.5772400000001
1978,9.027727544000001,810.14766
1979,8.65187905,861.99092
1980,9.1069159115,755.20928
1981,9.18044918175,722.26836
1982,8.9901394855,791.57694
1983,9.7212794955,870.72358
1984,9.2705969295,702.81332
1985,8.71711700975,845.74154
1986,8.48100108725,747.58202
1987,8.7308676735,781.9599600000001
1988,9.356892022,952.08102
1989,10.16962942025,595.2579000000001
1990,10.4713470515,709.0035599999999
1991,9.14304609925,776.3224200000001
1992,10.002850274,714.42002
1993,9.48823883725,935.7211
1994,9.5933518805,934.50516
1995,10.573169658250002,706.9033000000002
1996,9.243593227249999,652.7387
1997,9.926230589749999,633.1731199999999
1998,10.25889257125,726.35834
1999,10.29818976425,951.63886
2000,10.263630255999999,794.0088199999999
2001,9.992228926,1236.3899000000001
2002,10.460840335750001,853.81096
2003,10.69888586975,744.37636
2004,10.2696383795,830.40904
2005,10.22147541875,629.6
2006,10.330043234000001,678.3000000000001
2007,11.16426354975,967.4
2008,10.248471093500001,826.5
2009,9.77398915675,731.5
2010,9.70129622,717.3
2011,9.62924324575,623.7
2012,10.525347885999999,870.8
2013,9.14851651625,778.3000000000001
2014,10.87966458975,982.9000000000001
2015,10.36330187825,788.2
2016,10.7708836005,742.8
2017,10.693049880499998,622.2
2018,10.555582233500001,704.1999999999999
2019,10.23620925,565.2
2020,10.40871175,958.0
2021,10.1353045,802.8000000000001
2022,10.4547545,487.3
